id,type,src,dst,app,latency,message,ctime,size,buffer
3761,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0001,1.000016,hotspot0001__M.PP.0_3,1808.0,16,0
3762,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0002,1.000016,hotspot0002__M.PP.0_3,1808.0,16,1
3763,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0003,1.000016,hotspot0003__M.PP.0_3,1808.0,16,2
3764,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0004,1.000016,hotspot0004__M.PP.0_3,1808.0,16,3
3765,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0005,1.000016,hotspot0005__M.PP.0_3,1808.0,16,4
3766,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0006,1.000016,hotspot0006__M.PP.0_3,1808.0,16,5
3767,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0007,1.000016,hotspot0007__M.PP.0_3,1808.0,16,6
3768,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0008,1.000016,hotspot0008__M.PP.0_3,1808.0,16,7
3769,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0009,1.000016,hotspot0009__M.PP.0_3,1808.0,16,8
3770,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0010,1.000016,hotspot0010__M.PP.0_3,1808.0,16,9
3771,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0011,1.000016,hotspot0011__M.PP.0_3,1808.0,16,10
3772,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0012,1.000016,hotspot0012__M.PP.0_3,1808.0,16,11
3773,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0013,1.000016,hotspot0013__M.PP.0_3,1808.0,16,12
3774,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0014,1.000016,hotspot0014__M.PP.0_3,1808.0,16,13
3775,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0015,1.000016,hotspot0015__M.PP.0_3,1808.0,16,14
3776,LINK,mec-i-1-worker-3,mec-i-1-worker-4,Perception Pipeline::hotspot0016,1.000016,hotspot0016__M.PP.0_3,1808.0,16,15
